Name: Student 1013, Score: 67.67
Name: Student 1047, Score: 64.50
Name: Student 1312, Score: 65.25
Name: Student 1644, Score: 48.60
Name: Student 1850, Score: 39.60
Name: Student 1921, Score: 42.70
Name: Student 2009, Score: 55.00
Name: Student 2048, Score: 46.00
Name: Student 2149, Score: 31.80
Name: Student 2153, Score: 50.40
Name: Student 2326, Score: 26.00
Name: Student 2353, Score: 40.67
Name: Student 2388, Score: 62.75
Name: Student 2455, Score: 57.25
Name: Student 2722, Score: 52.50
Name: Student 2784, Score: 37.00
Name: Student 2910, Score: 46.83
Name: Student 2914, Score: 49.88
Name: Student 2958, Score: 47.62
Name: Student 3266, Score: 46.50
Name: Student 3361, Score: 50.83
Name: Student 3453, Score: 61.33
Name: Student 3478, Score: 51.00
Name: Student 3519, Score: 40.25
Name: Student 3539, Score: 55.86
Name: Student 3806, Score: 50.17
Name: Student 3868, Score: 40.44
Name: Student 3938, Score: 28.33
Name: Student 4061, Score: 54.00
Name: Student 4242, Score: 87.67
Name: Student 4397, Score: 33.20
Name: Student 4656, Score: 35.00
Name: Student 4660, Score: 43.60
Name: Student 4680, Score: 12.50
Name: Student 4703, Score: 45.80
Name: Student 4739, Score: 57.38
Name: Student 4818, Score: 63.00
Name: Student 4831, Score: 51.40
Name: Student 4879, Score: 51.25
Name: Student 5099, Score: 62.30
Name: Student 5628, Score: 84.00
Name: Student 5640, Score: 37.57
Name: Student 5650, Score: 37.29
Name: Student 5704, Score: 48.86
Name: Student 5753, Score: 36.67
Name: Student 5884, Score: 29.67
Name: Student 5962, Score: 31.00
Name: Student 5999, Score: 33.80
Name: Student 6136, Score: 78.67
Name: Student 6179, Score: 67.40
Name: Student 6273, Score: 52.80
Name: Student 6498, Score: 47.33
Name: Student 6600, Score: 39.20
Name: Student 6607, Score: 5.50
Name: Student 6758, Score: 81.50
Name: Student 6770, Score: 52.00
Name: Student 7016, Score: 50.50
Name: Student 7241, Score: 38.57
Name: Student 7380, Score: 3.00
Name: Student 7419, Score: 68.50
Name: Student 7511, Score: 37.50
Name: Student 7526, Score: 53.50
Name: Student 7705, Score: 9.00
Name: Student 7727, Score: 57.14
Name: Student 7825, Score: 38.40
Name: Student 7909, Score: 56.20
Name: Student 7941, Score: 47.50
Name: Student 7948, Score: 32.67
Name: Student 8035, Score: 38.62
Name: Student 8256, Score: 39.75
Name: Student 8267, Score: 54.38
Name: Student 8294, Score: 47.57
Name: Student 8388, Score: 3.00
Name: Student 8841, Score: 20.67
Name: Student 8980, Score: 31.50
Name: Student 9025, Score: 44.50
Name: Student 9945, Score: 42.44
Name: Student 9966, Score: 59.50
