260 49381
-3218 -9125 499845
-5920 -7982 20832
4717 -6927 557955
111 -2611 676262
-678 2162 717109
-7935 -1238 773611
-966 -3805 421866
2513 -3964 57729
2589 -5226 542968
8218 -6433 862257
-3870 -1780 772020
-5887 664 909098
7330 3493 785151
5761 4095 258590
-9237 -2417 871961
-5428 1337 714051
7589 7620 312277
3294 -6819 353856
6919 -6819 902949
-2868 7618 435285
7012 -9234 535181
7155 9717 423629
-4688 6869 866512
448 5927 608967
7880 884 550415
-3671 8260 251312
8066 3230 864722
-9553 -2700 285456
-1617 1147 356922
-604 7360 610171
-9382 -6310 15366
-2686 -387 936607
680 -9215 113172
-7891 -1039 322123
2538 -8721 920741
8617 -263 402282
-9753 2656 125821
-6877 448 127753
-5394 5596 886408
-6674 -578 252779
5022 -8552 484399
-8039 2044 608241
2013 6743 445130
104 -574 254147
4354 9482 955266
3146 -2536 320096
-4172 1961 212668
1549 216 279531
3442 -3197 208540
-712 6667 896736
7327 -2723 550132
-8611 -8484 653986
3903 5858 351851
8628 7450 510644
7855 -2831 836702
5439 2699 301432
-835 -3425 711861
9638 -5847 19407
-4397 -873 91435
-9253 -6864 781157
-5447 6364 647507
1689 6378 909681
3328 -5231 572236
-6129 3451 44558
3812 9030 917476
-9551 4886 557266
-3118 -5256 632873
-3945 9844 38777
-8251 6260 426488
7689 -3369 624795
-5475 -6649 259702
-1404 -573 540942
-7549 -9342 19997
-9163 -4824 769240
3865 1445 54622
-8003 2833 773372
2775 8349 8836
-4537 -3838 163697
7741 -2643 2195
5396 -4057 765100
4160 -8663 328699
-605 -7241 932936
4844 -6659 398763
-7427 5173 701758
9532 -5597 446616
6956 -2286 320534
-9018 3114 441290
-9267 1479 431044
3619 7008 626789
-9092 451 440076
-3369 5207 145111
-4356 7673 548575
3337 4161 206092
-3096 -9268 995810
2982 -1092 670238
7646 -8982 142981
-2412 -5534 118989
597 7595 85688
6697 4873 468499
-7366 -3177 938818
-2407 9454 191042
-50 9795 125994
-1470 169 114153
9944 8707 743656
2716 -3440 903161
8158 4117 321477
7948 3166 920124
7417 -9230 248237
7598 -7570 297116
6509 6392 122051
1083 9101 389103
-3772 7593 931354
7782 5933 755099
4227 -8252 202149
-1237 -1077 620353
5653 1577 49313
-4361 4664 968888
-2017 -2343 701708
7517 -1487 255476
-8624 -938 816408
2734 -5639 245134
3469 2426 181462
9130 766 411864
9202 -8543 798352
2617 -4851 526657
5367 -5049 487521
6850 -9893 100945
-2165 -2281 741103
-5151 3475 125051
2353 -3030 804307
-436 9241 548690
-5544 164 20863
9928 -1655 914363
1919 -4838 845626
-3434 -6629 534764
-8878 -2836 719473
3116 -3337 363437
4924 90 60273
3131 4920 36051
5684 -8822 384176
8209 6139 982088
310 284 648479
-1336 -7479 935510
-3586 3994 983931
1544 -4577 236251
-4950 9572 784241
9485 8247 705049
-5334 3104 73394
6002 1081 64233
9067 -33 259766
-2345 5762 361826
3585 -2071 163252
-8228 9193 521735
2902 -428 73564
2801 2681 94856
1612 4083 6441
2280 1780 331695
2169 5690 431613
-7536 -3359 678964
235 8104 739814
3131 -7342 913139
-75 -7533 81813
6378 -8644 139099
8785 -8073 265108
5200 -7060 112877
6015 5020 656027
9346 -4161 844919
4867 6565 165407
5025 3588 551331
4510 6502 459438
-1824 -7652 448675
-5478 1663 816700
2937 -1458 964633
-8916 5319 660104
2487 -7786 43211
2878 -9087 152044
-9089 6667 602215
-3109 8282 543948
-4753 228 366151
-4524 -9726 28152
-8399 4118 982093
8063 1225 737614
6604 4298 800822
5303 -5862 645037
3385 3369 43947
-3680 2649 109111
3943 -6955 641941
7096 3298 440936
3935 -1279 935549
2936 1712 50549
-7978 -3715 976391
3522 4384 794740
-3214 -1893 179103
-6609 -8650 703209
-7595 -1642 302674
892 -4727 743300
7370 -8380 217770
-1466 -8408 320862
6288 6830 152438
-5545 -6688 922359
1809 6306 89361
7171 -8502 284368
-2009 -9161 317246
-4474 6068 492718
9121 8639 179592
1365 3964 415468
-2587 -6201 169096
-4555 2037 123079
1593 -4641 194889
7946 -1792 409617
2955 4668 861728
300 7994 155338
-6836 -7284 733507
-9256 -9423 305062
-2112 -3765 544177
9207 2154 923671
-9068 -8557 211291
-6444 -2230 320843
2917 -8125 184270
5704 -7132 451888
6914 2233 131749
8190 5384 652500
3689 -2117 181882
-4956 -8129 125793
-1492 -2004 67580
-6667 6564 27275
-5575 8331 616649
-6164 -7573 150479
-8476 -7792 521830
7133 -8381 775117
898 -3172 824357
-9606 6113 182163
-7607 8000 957148
3368 9842 550936
3335 -5500 828489
7969 -839 86419
1683 5592 192121
3955 -587 169553
-4204 1511 970512
4138 -4294 819190
254 6450 443071
8061 -68 441998
4825 -2371 24390
1778 -955 457370
6989 -79 44977
-4955 9178 683800
4476 3172 876535
4026 -1151 134572
-214 -8105 268560
521 -418 367021
575 841 389998
7706 6859 912635
-2066 -1860 436063
4516 -929 147277
4097 -4305 230873
-9556 -2849 97607
-1889 -7049 395118
-8370 1014 507757
2710 -6381 108814
-7697 3576 184129
