356 90107
8546 -8841 619612
5050 -5761 227065
-6521 8809 306131
-9980 4284 618191
1051 -8576 54144
5715 5856 815973
-7490 -6075 831520
-5471 -9188 153535
-7115 8452 187197
-406 -7759 90139
-950 2454 921302
-8222 -7820 637714
-4033 -7814 827216
8563 -2064 676682
8259 -8831 684747
1355 -8141 94138
9212 6861 930275
7021 -7554 322442
-7582 -9567 804027
-7280 1874 941512
9714 2936 207029
-4683 5535 630539
-3891 -2463 505112
-465 6132 573983
7449 938 843750
-9294 -2574 605823
6002 -8997 197486
-9000 -2932 130441
-1794 2912 114526
-9424 6780 920772
853 5382 265351
3854 -3568 372309
-9984 -1863 657766
-6407 320 247518
-9310 8592 641332
9223 1517 927653
7293 6843 540055
9500 -1648 374874
-2341 3549 305633
-7122 118 135686
-5196 9306 101547
8403 -9155 382576
-3373 5369 16704
-7469 1501 514401
-1708 -9090 402658
3568 851 192645
-1690 -1005 85510
-8604 8827 119491
-332 201 799271
-8358 8317 485417
9947 1804 359050
-4109 7 781074
-3036 4676 200299
6548 -8043 684064
9842 4292 662809
-8295 2097 661255
8078 -8163 833385
5546 -5388 739634
6222 7382 361225
4370 -7569 438674
4592 1243 79811
-9263 7291 138284
-9514 7394 146963
5973 -4840 872255
6148 -4403 151613
3882 4063 826560
1760 4947 458092
-1505 -6478 959080
-5808 -7610 461322
-2615 -3331 524798
-5415 7834 86437
-7240 -9069 417811
64 4926 392678
1171 -9717 607095
-9691 -9013 753584
5971 -6643 91239
-7039 3794 690652
-6575 -3019 768772
-7873 -1273 313237
-2019 9988 485596
5775 -7989 751602
9293 1916 294563
1986 3103 667704
-7251 -3894 654729
6278 -9459 780285
8550 3167 863886
1442 -2776 191221
-6398 3897 349983
1940 -7124 614805
8070 -110 842775
-8615 1764 952250
-7311 6579 216464
-7958 -767 394569
-9741 2804 632101
-3890 -8570 625458
-8778 -4982 80708
7820 -1068 256287
8810 -5289 30304
6414 -5378 393601
-6436 -1952 125618
8579 -2113 319431
-6047 -1632 226937
-1208 9052 806315
2222 7837 469967
7967 2557 703442
-2649 -4483 196883
-1046 3049 266718
6299 -5035 87134
1943 -8080 10324
2620 1298 786191
4198 -1668 400548
8713 -5208 522945
4255 8764 774932
-2452 -1530 983959
-8307 5543 688752
-1282 8755 640971
-2764 8740 810756
3070 9820 57966
-8164 8514 268768
6482 1563 112529
3127 4953 256512
7501 -8252 518024
-6358 6030 296181
-9157 7379 64305
-2161 -2616 758087
-8421 5339 244230
8318 2330 453947
-2588 -9597 140025
9593 -8555 573893
93 -9928 787472
-915 -3959 566260
8617 -9155 83243
-5679 543 901339
141 5483 8220
824 -3906 520992
2332 9662 439577
2391 -9166 600006
3571 -8268 799480
-6148 4954 217867
-2124 -3590 145473
-9398 -8582 625371
7647 7705 161439
-8270 -5937 826604
-9478 -819 44478
4777 2609 459785
3701 -3884 162515
1666 -1360 564685
-7970 -5921 267500
980 -4606 377839
6696 -6085 101270
6860 -5065 621573
3558 -6466 661463
9438 -9650 498074
2213 4934 880071
-6600 7892 719627
-594 42 128837
-9164 -1944 831046
2628 1709 349957
-4700 -9123 264760
8302 -3145 828648
7980 5302 168479
-7603 5552 390997
-6639 -4960 53873
2572 5070 190363
-4825 -6165 186157
-2241 -5619 133969
-1838 214 566143
-8486 -4723 137287
-3324 -1682 712991
1910 -567 822335
1233 -598 544478
-2051 8315 241290
523 -4110 865706
-7915 -4755 108083
-6323 -5111 844070
-4061 3260 238145
5523 7139 829245
-4416 1712 748185
-2676 -4210 607933
7354 6133 795247
-887 -4571 974433
2645 3363 938791
-864 4038 441311
2591 -9219 171458
-4153 -9946 302644
811 -7728 108852
2614 9981 80133
9517 5282 81060
5394 -1234 437497
9191 1632 25425
-2080 -7841 262312
-8125 9687 970332
-7 8319 644628
-8014 -9753 946732
6866 9449 385843
-7196 88 264264
2859 6150 401957
-848 9425 330237
-9926 6942 203850
-2905 1527 843096
6133 6806 293865
-5334 775 366683
-1821 -996 422066
4971 -9011 964307
-6346 7630 788240
6815 -8881 227589
-3709 -5920 472672
-5248 2647 581476
-386 5663 68967
7257 -4209 672459
8145 4596 17569
-2478 4114 284679
-7652 6324 506699
-9951 -645 391723
-751 -7524 75761
6865 -6644 844450
-7377 -3349 48892
-3559 -1963 395635
-3470 6662 553086
-995 -8169 726742
993 -6239 994839
9788 -5289 898062
4745 7790 210360
-7472 8492 318259
1300 -4060 678019
-8948 -426 995028
-7916 -523 38540
8652 -4870 189867
-9753 -7474 624294
9882 1736 380363
-3991 -8602 986518
8143 -4107 297081
352 9460 286237
1668 1387 316815
4278 -3139 319898
598 9549 409553
4006 -6572 596401
-3043 9821 829750
-2621 -1928 514275
8066 -9017 313813
7187 -5997 287290
-565 -755 886305
-1131 -5854 822756
-5290 -9549 729163
-8817 -7972 68890
-3491 -3994 655404
-2398 1161 911044
3726 -6903 247712
9564 2173 884854
-2443 -3771 77148
6203 1770 621794
-7498 -6243 158823
4294 -4533 514041
7209 -574 329683
5047 5255 58843
8659 147 718129
4703 -6576 818580
6038 -4263 445276
-7329 -7316 584288
2676 -8841 81929
7267 -2081 125510
-3727 -4293 369037
-3170 -4450 845108
5326 1508 248829
3462 -6673 408620
-3199 1901 794376
-9995 9855 103898
-9919 -3511 892291
-9798 -3607 781741
8096 8411 654326
1137 9468 565746
8800 8282 794649
5861 -5523 660781
-6155 5654 953649
2342 -7051 377097
-9414 519 340158
8591 -7052 526302
-148 7307 270834
7234 6855 214590
9073 -7767 12014
2034 -4664 448024
-3177 9208 605945
-4106 3614 134772
8945 1736 47156
-9285 3795 979588
-577 7587 919645
9053 979 47985
-1953 2949 465659
8426 -8919 99561
2537 4660 581752
7640 701 399883
7272 7835 484098
402 3026 660060
2712 -7627 816934
8132 175 599602
-5449 6422 439219
6324 -117 672295
