514 129284
7270 -3951 776183
-6994 4802 818894
-821 -186 477808
-6078 3198 628827
9723 -2922 533786
6776 -8080 791297
3185 5768 111560
8377 -1758 136472
-6177 5242 723942
-7910 8450 261810
-5219 -7840 17169
-534 -5131 638280
-3997 9662 440340
-152 1958 894082
-5887 853 954567
-1674 9209 260417
-70 9141 911075
8417 369 695494
-7454 -9949 347665
7781 -7185 603256
-1190 -2264 85701
5811 1160 242894
9991 -5416 777132
3477 5031 265028
1723 -4126 63290
5347 -8881 179533
3292 847 679991
-1779 -4303 392918
6205 -625 282382
4876 9041 140338
-5336 8536 227817
9812 9330 143378
-8039 2856 637987
-6538 7248 362369
-6036 -3191 60365
2893 7214 320977
346 3293 413747
1690 -6354 825194
2281 1828 123536
-7660 -6727 30550
-7950 8872 682036
1141 1375 801339
-2247 6900 592190
-7573 -5422 655688
77 7602 458398
6963 -4195 748924
6932 5372 161407
-1876 8476 323750
-7794 -9252 386239
1957 2040 934154
-4388 -9076 634997
639 8734 968792
1730 -8405 681265
7767 5758 214918
-5328 2806 652463
9259 7611 824855
-2294 3352 438657
5760 -4593 687419
738 6257 624215
9959 -1560 240949
-9698 9245 733407
1184 -2403 459388
6278 -9096 546908
402 -7148 897328
-7741 -8643 924040
-2795 -2972 756171
-5485 8662 336082
-5337 -7343 389260
8040 4060 771004
7919 -3568 163364
-6224 3749 128328
-6016 -7408 454240
-2693 4249 253405
3071 2563 754685
7555 3382 403296
-934 8587 697232
-5124 -176 601924
6467 -6826 334323
-3768 -9110 984276
7562 -5480 204088
4985 5717 130665
5003 1732 234852
7761 -5473 415655
-6338 4689 421408
2082 6033 114898
2517 -4480 359943
7299 -7187 165580
5810 -5614 876986
-418 6365 810881
4255 -6938 645800
3587 -980 178656
-397 -9545 615583
4513 7540 941681
-6509 7807 378577
2938 -6199 55178
-4407 -5123 689177
-4177 9121 316406
7401 7877 453545
8213 -3126 262834
-3222 -3186 94116
1644 58 683246
4494 -4694 93739
-7978 4993 514779
-2306 5955 314363
8835 -9338 499548
6759 -1117 832055
8166 9534 255432
3659 -1267 913807
-471 1039 388282
-1786 -9927 48235
-811 -4349 429455
7331 -8062 434242
-7722 1419 215706
-6362 -2870 697682
3584 -1090 106160
3838 -442 643278
264 -4002 841799
4560 1009 558445
4171 7890 705057
-2231 -3792 384826
-9127 -7985 420899
-3797 -8571 364781
7337 2037 144722
-3166 221 577532
-6614 -3511 446551
2424 -3199 877315
-447 -6961 442386
5042 -7294 261351
9227 -8696 606765
-4243 1529 257291
-9926 -5068 369745
4883 -7397 984460
4738 4979 644658
5637 8291 436903
-3482 -1841 525021
-6742 -9480 739250
3238 -2527 321972
5226 -1560 262347
-4296 -5654 712061
5984 3445 741803
6703 5094 672648
5281 -6290 587340
-4777 6167 528582
7691 -497 437857
822 2446 734523
-493 4235 843729
-7060 -2104 524487
45 2123 468932
5400 6262 146671
8110 -141 652743
7960 -7290 242046
9655 794 635461
-5163 7157 847829
-6311 -7575 912812
9290 -3871 194661
-3340 9184 426095
985 9743 807167
-8968 5221 700718
1679 -2298 501541
6730 -974 291264
7829 7730 599927
127 -9647 805958
9755 -2145 356519
9862 3165 102722
6980 2766 876553
8537 -4003 435668
-1946 3486 65533
-2360 569 609514
-9719 5671 105211
-8276 6637 926030
5109 2908 227586
-189 1031 405973
-2029 -7905 49156
-5582 -4786 129584
-5405 7068 713027
-4829 3589 374730
-2017 3674 364833
-1116 -9505 362561
53 6039 72616
-4923 9766 127039
-8978 -3702 937442
-4460 2004 209728
-7965 7570 78270
9049 4306 714850
5449 -2234 874448
7382 6183 399470
-5540 -2968 838580
-4719 -3817 142242
-6970 571 162098
337 9507 333618
811 -225 352662
-793 -3730 141285
-6634 9133 332942
6729 6787 936912
578 -2152 122974
2248 -4659 662291
-9309 -9268 78104
9255 6800 98432
-5354 215 220554
-1829 -4475 948741
-5387 7927 966140
3655 5240 245025
-3542 5083 744377
5395 -8796 768539
-6656 2005 859334
6244 5551 952122
6702 -7320 430915
-7972 9695 493787
4957 3169 177497
-6499 649 713641
-5199 1798 274635
240 -1435 979440
1923 2918 44375
3203 -7732 846654
-4891 -7789 927763
-9929 9541 252717
