272 725175
-8986 205 39915
6883 4887 172037
-8369 -4768 357487
-1950 -7673 578710
7767 4516 876769
-7725 -6468 671359
8951 -843 194135
-9358 4158 482542
7728 -3 679233
6223 -9777 862345
-7577 -515 728468
9255 3359 433018
2342 -9739 258072
6199 -8735 150255
5031 6785 197627
4898 -805 759085
-7165 -6641 550387
-6286 -866 266872
57 6557 989434
7584 4394 465626
9632 -3326 972805
8637 3454 89605
7247 -4899 53089
-8904 -8384 344460
9827 -6582 543111
8089 2891 787910
-6081 4095 694257
1126 -10 528863
3618 6011 579514
-815 3743 523344
87 7920 425555
9316 -6019 213597
8776 9096 745769
-4579 5979 409156
-6585 322 981596
-1003 -6395 758313
3803 13 342422
-6505 8164 45742
-3760 3218 327952
-5966 -9678 347757
-7984 -9133 800517
-2428 8979 457397
5383 5484 806375
-9079 -4650 839906
174 4200 251495
9154 5711 302224
5003 4472 986774
-5397 1740 665849
-6385 -6837 423408
4574 -8991 249556
9897 2712 200762
-397 5493 906155
-410 -749 370398
-2141 -9182 646019
280 7321 316009
7235 7433 792491
2648 4705 545910
-2165 4389 674585
3077 9946 641505
1369 -9397 386856
227 -6993 445934
-2824 2255 423754
3267 -5301 140093
1408 -1328 484430
-8008 -2594 995346
-9128 9150 834258
9416 -798 889623
-2269 -4502 42530
-2465 4784 637970
1133 8045 52266
-5643 -4807 790700
-8603 4187 490954
5725 -483 663964
-4017 -5692 471832
-4764 9944 701262
6497 -3805 509845
-2482 -8568 707056
3431 -1748 687429
455 -5344 501438
1383 6850 277458
7602 514 846256
9420 483 742775
5514 -5235 976003
-9314 9761 581137
8424 5255 688434
-2369 -3074 321110
1580 -7584 11111
7357 -9073 429277
-1107 -1602 731853
7080 -5931 291918
-8509 -5039 459426
1084 -2790 688471
-7616 -3039 199402
-5201 9359 399946
-230 -3834 509501
-5564 2693 714780
9202 8910 312720
-2992 6031 493207
-6700 -4394 982016
180 1512 635995
3456 -5300 778289
-1951 8790 687876
8640 571 356744
-3583 8442 552541
-8338 -2293 529646
-1161 -4168 13079
1837 1908 891791
8295 -1633 392587
-6419 -6513 188568
4647 -6816 796065
-4986 -8478 418046
-8386 -7984 793545
8218 4542 492330
-4132 -3390 289900
7263 -6538 110375
-7797 -3990 547586
-9553 2869 180137
182 1724 484691
4557 9261 321414
-6203 -5223 356053
6200 5223 588916
-8240 -4303 589289
-1294 4230 670393
-6944 -5060 674105
-5373 7523 736134
2102 -8173 684979
9134 -7719 292121
5067 7562 897855
-9241 -3932 550099
8890 9129 342691
-2654 -5939 143931
-9787 -6502 164629
-6093 -1975 974360
-3594 -8319 876676
1178 -7172 10181
9678 4922 279231
3766 5651 967442
4124 3782 777742
-5380 3469 826089
4417 -934 171972
5095 8592 20829
9480 4256 584207
7259 -5289 402382
376 2184 223173
-723 7749 230058
1397 -4509 485338
-1328 -4954 110686
7774 -7844 905673
-263 357 607514
2141 -2155 80691
2531 488 847851
3601 6637 15827
5928 3768 775160
-5820 -1458 839824
2676 9512 975400
4062 -5336 679372
3504 45 341850
6296 7388 379839
-8691 -9757 604446
-8329 -3289 848073
-645 8826 446211
-9755 4602 988039
102 -9681 311977
5631 -5963 784708
-7786 707 739159
-934 -7354 762008
-587 -5320 591347
-1401 -589 743792
596 -9053 846362
-7 -7435 323561
4527 1188 229585
8928 -4256 967080
-3200 2642 299442
4725 -5102 818079
-3501 5410 350650
-2816 -5968 621716
-2907 -6180 568369
4265 4902 360738
4455 -3534 478187
-4479 -1995 46163
6950 7849 170922
7382 1113 992821
-6741 248 427198
-9098 3624 787017
8780 4925 287767
-2111 3980 50906
-5968 3463 990332
4693 7695 349464
4128 330 953577
8622 -9562 559682
-2156 -1320 484244
-1912 -683 296286
6149 -4659 327718
7289 -3759 336068
-5057 5965 986348
7959 -5055 309319
3732 608 958125
4928 -5499 122412
-1491 -335 607592
5731 -5380 627262
4572 5827 890386
-5981 2041 691479
-769 -7153 111171
-8572 6502 153272
589 2519 102697
1032 8745 121866
-5185 7248 363990
4506 6173 547342
-6108 5463 359983
-7802 5731 326681
504 -8666 654553
8325 -4636 487758
-1981 9260 603711
-9745 -3918 826294
9305 8774 614738
3693 -4960 641997
-6188 2769 611597
-6940 -1653 91874
-8659 6541 740853
5835 -3631 621709
3546 9325 1357
-1744 5849 408323
-8613 -1121 680409
-6665 5789 821527
-7612 -8006 302384
-2293 7629 469743
-5428 3123 936397
483 7359 980655
-9508 -4465 88998
1090 5297 234050
-935 7241 69642
7199 -1957 565726
-5417 7766 472549
4546 -1185 554794
764 -4841 471666
372 -4326 790927
7774 3035 915440
-8770 102 37648
-7541 9596 659453
8376 -8754 289439
-9087 -1386 380961
-4668 -9022 30986
-5195 5114 905582
-2477 -7273 570263
-9468 -7202 613833
-3245 6907 135658
5902 3109 256903
-9991 6603 755886
-1322 -9675 791017
6156 5254 370320
-2052 5744 925489
8500 3662 107523
1288 6899 664375
-3132 805 971339
-9367 1125 287755
-7976 6918 393244
2333 1939 426029
-2806 8318 397964
7020 -4232 401622
1206 5598 149850
7446 -9316 242268
-1526 2725 451950
4546 -8692 874708
-8130 9225 524212
2863 2419 770707
6171 5532 786663
-5977 -3216 145891
6485 -3851 85161
-8185 2449 969929
262 -690 547816
-2620 -7494 494781
1372 -6519 654972
